unidade;ano;mes;setor_centro_custo;internacoes
HEM;2022,0;10,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;150,0
HEM;2022,0;10,0;UTI - ADULTO;14,0
HEM;2022,0;11,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;167,0
HEM;2022,0;11,0;UTI - ADULTO;15,0
HEM;2022,0;12,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;172,0
HEM;2022,0;12,0;UTI - ADULTO;10,0
HEM;2023,0;1,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;152,0
HEM;2023,0;1,0;UTI - ADULTO;14,0
HEM;2023,0;2,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;146,0
HEM;2023,0;2,0;UTI - ADULTO;9,0
HEM;2023,0;3,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;137,0
HEM;2023,0;3,0;UTI - ADULTO;30,0
HEM;2023,0;4,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;131,0
HEM;2023,0;4,0;UTI - ADULTO;22,0
HEM;2023,0;5,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;118,0
HEM;2023,0;5,0;UTI - ADULTO;25,0
HEM;2023,0;6,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;128,0
HEM;2023,0;6,0;UTI - ADULTO;23,0
HEM;2023,0;7,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;121,0
HEM;2023,0;7,0;UTI - ADULTO;16,0
HEM;2023,0;8,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;152,0
HEM;2023,0;8,0;UTI - ADULTO;25,0
HEM;2023,0;9,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;112,0
HEM;2023,0;9,0;UTI - ADULTO;14,0
HEM;2023,0;10,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;93,0
HEM;2023,0;10,0;UTI - ADULTO;29,0
HEM;2023,0;11,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;123,0
HEM;2023,0;11,0;UTI - ADULTO;6,0
HEM;2023,0;12,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;143,0
HEM;2023,0;12,0;UTI - ADULTO;13,0
